event_id,hvdc_code,event_type,location,location_code,location_match_method,location_match_score,event_date,source,raw
sev_HVDCADOPTHE0003_DAS_2024-07-14,HVDC-ADOPT-HE-0003,SITE,DAS,,NONE,0.0000,2024-07-14,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-07-08"", ""count"": 59, ""field"": ""DAS""}"
sev_HVDCADOPTHE0004_DSVOutdoor_2023-02-22,HVDC-ADOPT-HE-0004,WH,DSV Outdoor,,NONE,0.0000,2023-02-22,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2023-02-24"", ""count"": 36, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0004_DAS_2025-04-21,HVDC-ADOPT-HE-0004,SITE,DAS,,NONE,0.0000,2025-04-21,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-05-13"", ""count"": 36, ""field"": ""DAS""}"
sev_HVDCADOPTHE0005_DSVOutdoor_2024-02-14,HVDC-ADOPT-HE-0005,WH,DSV Outdoor,,NONE,0.0000,2024-02-14,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-15"", ""count"": 80, ""field"": ""DSV Outdoor""}"
sev_HVDCADOPTHE0005_DSVIndoor_2024-02-15,HVDC-ADOPT-HE-0005,WH,DSV Indoor,,NONE,0.0000,2024-02-15,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-15"", ""count"": 2, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0005_MOSB_2024-05-20,HVDC-ADOPT-HE-0005,PORT,MOSB,,NONE,0.0000,2024-05-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-24"", ""count"": 48, ""field"": ""MOSB""}"
sev_HVDCADOPTHE0005_Shifting_2024-05-20,HVDC-ADOPT-HE-0005,GEN,Shifting,,NONE,0.0000,2024-05-20,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-08-07"", ""count"": 31, ""field"": ""Shifting""}"
sev_HVDCADOPTHE0005_DAS_2024-05-27,HVDC-ADOPT-HE-0005,SITE,DAS,,NONE,0.0000,2024-05-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-07-21"", ""count"": 82, ""field"": ""DAS""}"
sev_HVDCADOPTHE0007_DSVIndoor_2024-01-31,HVDC-ADOPT-HE-0007,WH,DSV Indoor,,NONE,0.0000,2024-01-31,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-02"", ""count"": 30, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0007_DAS_2025-06-07,HVDC-ADOPT-HE-0007,SITE,DAS,,NONE,0.0000,2025-06-07,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-11"", ""count"": 30, ""field"": ""DAS""}"
sev_HVDCADOPTHE0008_DSVIndoor_2024-01-30,HVDC-ADOPT-HE-0008,WH,DSV Indoor,,NONE,0.0000,2024-01-30,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-01-30"", ""count"": 15, ""field"": ""DSV Indoor""}"
sev_HVDCADOPTHE0008_DAS_2025-06-10,HVDC-ADOPT-HE-0008,SITE,DAS,,NONE,0.0000,2025-06-10,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2025-06-10"", ""count"": 15, ""field"": ""DAS""}"
sev_HVDCADOPTHE0009_DSVIndoor_2024-01-27,HVDC-ADOPT-HE-0009,WH,DSV Indoor,,NONE,0.0000,2024-01-27,warehouse_overlay(min),"{""agg"": ""min"", ""max_date"": ""2024-02-03"", ""count"": 24, ""field"": ""DSV Indoor""}"
