hvdc_code,case_no,site_code,eq_no,pkg,description,final_location,storage,l_cm,w_cm,h_cm,cbm,nw_kg,gw_kg,sqm,vendor
HVDC-ADOPT-HE-0005,207597,DAS,EQ-001,1,PEX Pipes,DAS,Outdoor covered,265.0,130.0,69.0,2.37705,30.0,197.0,3.445,HITACHI
HVDC-ADOPT-HE-0005,207598,DAS,EQ-001,1,Terminal shield,DAS,Outdoor covered,302.0,144.0,126.0,5.479488,300.0,468.0,4.3488,HITACHI
HVDC-ADOPT-HE-0005,207599,DAS,EQ-001,1,Terminal shield,DAS,Outdoor covered,302.0,144.0,126.0,5.479488,300.0,468.0,4.3488,HITACHI
HVDC-ADOPT-HE-0005,207601,DAS,EQ-001,1,LG channels&laminate rod-Pack 1,DAS,Outdoor covered,157.0,59.0,51.0,0.985413,86.0,126.0,0.9263,HITACHI
HVDC-ADOPT-HE-0005,207602,DAS,EQ-001,1,Air Pipes,DAS,Outdoor covered,190.0,74.0,45.0,1.1457,48.0,118.0,1.406,HITACHI
HVDC-ADOPT-HE-0005,207605,DAS,EQ-001,1,Diagonal + flexible conductors,DAS,Outdoor covered,355.0,107.0,80.0,3.5518,1621.0,1865.0,3.7985,HITACHI
HVDC-ADOPT-HE-0005,207606,DAS,EQ-001,1,Diagonal + flexible conductors,DAS,Outdoor covered,355.0,107.0,80.0,3.5518,1621.0,1865.0,3.7985,HITACHI
HVDC-ADOPT-HE-0005,207643,DAS,EQ-001,1,Inter Valve Bus Bar,DAS,Indoor,592.0,108.0,113.0,7.224768,1350.0,1490.0,6.3936,HITACHI
HVDC-ADOPT-HE-0005,207644,DAS,EQ-001,1,Inter Valve Bus Bar,DAS,Indoor,592.0,108.0,113.0,7.224768,1350.0,1490.0,6.3936,HITACHI
HVDC-ADOPT-HE-0005,207648,DAS,EQ-001,1,Nuts Bolts Washers 1/3,DAS,Outdoor covered,120.0,80.0,50.0,0.48,357.0,377.0,0.96,HITACHI
HVDC-ADOPT-HE-0005,207649,DAS,EQ-001,1,Small Items Site Assembly,DAS,Outdoor covered,323.0,103.0,77.0,2.561713,853.0,1065.0,3.3269,HITACHI
HVDC-ADOPT-HE-0005,207650,DAS,EQ-001,1,Small Items Site Assembly,DAS,Outdoor covered,323.0,103.0,77.0,2.561713,853.0,1065.0,3.3269,HITACHI
