hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0119,PRL-CS-007-O2 Spare,HITACHI,Germany,Antwerpen,Khalifa port,MSC Marie,85045000,EUR,4046.53
HVDC-ADOPT-HE-0120,PRL-MIR-007-O1 Lot 2,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,14957.75
HVDC-ADOPT-HE-0121,PRL-MIR-007-O2 Spare,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,2908.44
HVDC-ADOPT-HE-0122,PRL-SHU-007-O1,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,18957.29
HVDC-ADOPT-HE-0123,PRL-SHU-007-O2 Spare Lot 1,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85045000,EUR,3486.52
HVDC-ADOPT-HE-0124,PRL-SHU-006-O1,HITACHI,Sweden,Antwerpen,Khalifa port,MSC Luciana,85352900,EUR,7397.31
HVDC-ADOPT-HE-0125,PRL-SHU-015-O1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Hamburg,85446010,SEK,398093.9
HVDC-ADOPT-HE-0126,PRL-SHU-015-O2,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Hamburg,85446010,SEK,398093.9
HVDC-ADOPT-HE-0127-1,PRL-DAS-005-O1-1 Lot 1,HITACHI,Sweden,Gothenburg,Khalifa port,Eugen Maersk,85446010,SEK,403459.4
HVDC-ADOPT-HE-0127-2,PRL-DAS-005-O1-2 Lot 1,HITACHI,Sweden,Gothenburg,Khalifa port,ESTELLE Maersk,85446010,SEK,403459.4
HVDC-ADOPT-HE-0128,PRL-DAS-005-O2 Lot 1 Spare,HITACHI,Sweden,Gothenburg,Khalifa port,Eugen Maersk,85446010,SEK,403459.4
HVDC-ADOPT-HE-0129,PRL-CS-016-O1,HITACHI,Sweden,Gothenburg,Khalifa port,Maersk Herrera,85446010,SEK,475538.0
HVDC-ADOPT-HE-0130,PRL-SHU-017-O1,HITACHI,Germany,Antwerpen,Khalifa port,ELLY Maersk,85332900,EUR,22035.44
HVDC-ADOPT-HE-0131,PRL-SHU-017-O2 SPARE,HITACHI,Germany,Antwerpen,Khalifa port,ELLY Maersk,85332900,EUR,22035.44
HVDC-ADOPT-HE-0132,PRL-DAS-014-O1,HITACHI,Germany,Antwerpen,Khalifa port,ELLY Maersk,85332900,EUR,26173.8
HVDC-ADOPT-HE-0133,PRL-DAS-014-O2 Spare,HITACHI,Germany,Antwerpen,Khalifa port,ELLY Maersk,85332900,EUR,26173.8
HVDC-ADOPT-HE-0134,PRL-SHU-018-O,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,5142.64
HVDC-ADOPT-HE-0135,PRL-SHU-018-O2 Spare,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,5142.64
HVDC-ADOPT-HE-0136,PRL-MIR-012-O1,HITACHI,Austria,Antwerp,Khalifa port,MARIBO MAERSK,85043300,EUR,8567.65
