hvdc_code,case_no,flow_code,flow_code_original,flow_code_derived,override_reason,warehouse_count,has_mosb_leg,has_site_arrival,customs_code,customs_start_iso,customs_end_iso,last_status,requires_review
HVDC-ADOPT-HE-0004,207678,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207679,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207680,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207681,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207682,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207683,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207684,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207685,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207686,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0004,207687,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-20T00:00:00+04:00,2024-02-19T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207590,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207591,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207592,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207593,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207594,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207595,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207596,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207597,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207598,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207599,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207601,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207602,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207605,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207606,4,3,4,FLOW_RECALC_MISMATCH,1,True,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
HVDC-ADOPT-HE-0005,207643,3,2,2,AGI/DAS requires MOSB leg,1,False,True,47150,2024-02-12T00:00:00+04:00,2024-02-12T00:00:00+04:00,site,False
